       Time_s           01           02           03           04           05
   0.0000E+00   2.7580E+02   4.0000E+02   4.3212E+02   7.8305E-03   5.2011E+00
   1.0000E-15   2.7580E+02   4.0000E+02   5.6242E+04   4.3424E-03   2.8843E+00
   2.0000E-15   3.7037E+02   4.0000E+02   6.4995E+04   5.1138E-03   4.5612E+00
   3.0000E-15   3.9550E+02   4.0000E+02   6.7137E+04   5.3079E-03   5.0556E+00
   4.0000E-15   4.0115E+02   4.0000E+02   6.7608E+04   5.3506E-03   5.1691E+00
   5.0000E-15   4.0239E+02   4.0000E+02   6.7710E+04   5.3599E-03   5.1941E+00
   6.0000E-15   4.0266E+02   4.0000E+02   6.7733E+04   5.3619E-03   5.1996E+00
   7.0000E-15   4.0266E+02   4.0000E+02   6.7733E+04   5.3619E-03   5.1996E+00
   8.0000E-15   4.0266E+02   4.0000E+02   6.7733E+04   5.3619E-03   5.1996E+00
   9.0000E-15   4.0266E+02   4.0000E+02   6.7733E+04   5.3619E-03   5.1996E+00
   1.0000E-14   4.0266E+02   4.0000E+02   6.7733E+04   5.3619E-03   5.1996E+00
   1.1000E-14   4.0266E+02   4.0000E+02   6.7733E+04   5.3619E-03   5.1996E+00
   1.2000E-14   4.0266E+02   4.0000E+02   6.7733E+04   5.3619E-03   5.1996E+00
   1.3000E-14   4.0266E+02   4.0000E+02   6.7733E+04   5.3619E-03   5.1996E+00
   1.4000E-14   4.0266E+02   4.0000E+02   6.7733E+04   5.3620E-03   5.1996E+00
   1.5000E-14   4.0266E+02   4.0000E+02   6.7733E+04   5.3620E-03   5.1996E+00
   1.6000E-14   4.0266E+02   4.0000E+02   6.7733E+04   5.3620E-03   5.1996E+00
   1.7000E-14   4.0266E+02   4.0000E+02   6.7733E+04   5.3620E-03   5.1996E+00
   1.8000E-14   4.0266E+02   4.0000E+02   6.7733E+04   5.3620E-03   5.1996E+00
   1.9000E-14   4.0266E+02   4.0000E+02   6.7733E+04   5.3620E-03   5.1996E+00
   2.0000E-14   4.0266E+02   4.0000E+02   6.7733E+04   5.3620E-03   5.1996E+00
   2.1000E-14   4.0266E+02   4.0000E+02   6.7733E+04   5.3620E-03   5.1996E+00
   2.2000E-14   4.0266E+02   4.0000E+02   6.7733E+04   5.3620E-03   5.1996E+00
   2.3000E-14   4.0266E+02   4.0000E+02   6.7733E+04   5.3620E-03   5.1996E+00
   2.4000E-14   4.0266E+02   4.0000E+02   6.7733E+04   5.3620E-03   5.1996E+00
   2.5000E-14   4.0266E+02   4.0000E+02   6.7733E+04   5.3620E-03   5.1996E+00
   2.6000E-14   4.0266E+02   4.0000E+02   6.7733E+04   5.3620E-03   5.1996E+00
   2.7000E-14   4.0266E+02   4.0000E+02   6.7733E+04   5.3620E-03   5.1996E+00
   2.8000E-14   4.0266E+02   4.0000E+02   6.7733E+04   5.3620E-03   5.1997E+00
   2.9000E-14   4.0266E+02   4.0000E+02   6.7733E+04   5.3620E-03   5.1997E+00
   3.0000E-14   4.0266E+02   4.0000E+02   6.7733E+04   5.3620E-03   5.1997E+00
   3.1000E-14   4.0266E+02   4.0000E+02   6.7733E+04   5.3620E-03   5.1997E+00
   3.2000E-14   4.0266E+02   4.0000E+02   6.7733E+04   5.3620E-03   5.1997E+00
   3.3000E-14   4.0266E+02   4.0000E+02   6.7733E+04   5.3620E-03   5.1997E+00
   3.4000E-14   4.0266E+02   4.0000E+02   6.7733E+04   5.3620E-03   5.1997E+00
   3.5000E-14   4.0266E+02   4.0000E+02   6.7733E+04   5.3620E-03   5.1997E+00
   3.6000E-14   4.0266E+02   4.0000E+02   6.7733E+04   5.3620E-03   5.1997E+00
   3.7000E-14   4.0266E+02   4.0000E+02   6.7733E+04   5.3620E-03   5.1997E+00
   3.8000E-14   4.0266E+02   4.0000E+02   6.7733E+04   5.3620E-03   5.1997E+00
   3.9000E-14   4.0266E+02   4.0000E+02   6.7733E+04   5.3620E-03   5.1997E+00
   4.0000E-14   4.0266E+02   4.0000E+02   6.7733E+04   5.3620E-03   5.1997E+00
