         Time_s                                                                                                               01                                                                                                               02                                                                                                               03                                                                                                               04                                                                                                               05                                                                                                               06                                                                                                               07                                                                                                               08                                                                                                               09                                                                                                               10                                                                                                               11                                                                                                               12                                                                                                               13                                                                                                               14                                                                                                               15                                                                                                               16                                                                                                               17                                                                                                               18                                                                                                               19                                                                                                               20                                                                                                               21                                                                                                               22                                                                                                               23                                                                                                               24                                                                                                               25                                                                                                               26                                                                                                               27                                                                                                               28                                                                                                               29                                                                                                               30                                                                                                               31                                                                                                               32                                                                                                               33                                                                                                               34                                                                                                               35                                                                                                               36                                                                                                               37                                                                                                               38                                                                                                               39                                                                                                               40                                                                                                               41                                                                                                               42
   0.000000E+00   1.0000E+09   2.1546E+17   1.9527E+16   5.2815E+15   4.7741E+14   8.6309E+13   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   1.0000E+09   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00
   1.000000E-15   1.0000E+09   2.1546E+17   1.9527E+16   5.2815E+15   4.7741E+14   8.6309E+13   0.0000E+00   1.0587E+03   3.7876E+02   1.0889E-12   1.3808E-12   3.8704E-13   1.5178E-13   5.6525E-14   2.6649E-02   2.2141E-17   9.9586E-18   5.6509E-18   1.5200E-17   9.6432E-17   1.0094E-26   3.1246E+00   0.0000E+00   1.6381E-22   3.7627E+02   1.0000E+09   2.0964E-09   2.0487E+00   4.1799E-41   3.9551E-20   1.7400E+01   2.6644E-02   0.0000E+00   5.2448E-09   3.0571E-30   3.1246E+00   2.5395E+00   2.6222E-29   1.9977E+00   9.6840E-21   1.5717E-27   1.5153E-50
   2.000000E-15   1.0000E+09   2.1546E+17   1.9527E+16   5.2815E+15   4.7741E+14   8.6309E+13   0.0000E+00   2.7030E+03   7.6162E+02   3.7957E-12   6.2918E-12   2.0076E-12   9.0822E-13   3.3914E-13   2.6016E-01   2.8113E-16   1.2648E-16   7.2241E-17   1.9387E-16   1.5163E-15   6.7079E-26   8.2514E+00   0.0000E+00   1.0695E-21   7.5677E+02   1.0000E+09   9.9091E-09   9.7542E+00   6.1505E-40   2.1926E-19   3.4799E+01   2.6015E-01   0.0000E+00   2.0993E-08   3.6333E-29   8.2513E+00   1.0698E+01   6.1774E-28   3.9102E+00   1.1885E-19   2.9072E-26   9.9154E-49
   3.000000E-15   1.0000E+09   2.1546E+17   1.9527E+16   5.2815E+15   4.7741E+14   8.6309E+13   0.0000E+00   4.5055E+03   1.1440E+03   8.0970E-12   1.4699E-11   4.8858E-12   2.2918E-12   8.5968E-13   6.1839E-01   1.0651E-15   4.7919E-16   2.7396E-16   7.3702E-16   6.0431E-15   2.4378E-25   1.3945E+01   0.0000E+00   3.8349E-21   1.1370E+03   1.0000E+09   2.5074E-08   1.9827E+01   4.0525E-39   7.0171E-19   5.2199E+01   6.1838E-01   0.0000E+00   4.6789E-08   2.0073E-28   1.3945E+01   2.1021E+01   3.7511E-27   5.7950E+00   4.4850E-19   1.5546E-25   1.3013E-47
   4.000000E-15   1.0000E+09   2.1546E+17   1.9527E+16   5.2815E+15   4.7741E+14   8.6309E+13   0.0000E+00   6.3436E+03   1.5262E+03   1.4031E-11   2.6480E-11   8.9517E-12   4.2579E-12   1.6007E-12   1.0104E+00   2.4964E-15   1.1232E-15   6.4233E-16   1.7298E-15   1.4402E-14   6.1066E-25   1.9767E+01   0.0000E+00   9.5252E-21   1.5172E+03   1.0000E+09   4.7926E-08   3.0488E+01   1.6075E-38   1.6301E-18   6.9598E+01   1.0104E+00   0.0000E+00   8.2405E-08   6.4181E-28   1.9767E+01   3.1870E+01   1.2150E-26   7.6734E+00   1.0503E-18   4.6798E-25   6.8663E-47
   5.000000E-15   1.0000E+09   2.1546E+17   1.9527E+16   5.2815E+15   4.7741E+14   8.6309E+13   0.0000E+00   8.1894E+03   1.9084E+03   2.1624E-11   4.1607E-11   1.4181E-11   6.7899E-12   2.5554E-12   1.4101E+00   4.6088E-15   2.0736E-15   1.1860E-15   3.1954E-15   2.6767E-14   1.2387E-24   2.5617E+01   0.0000E+00   1.9212E-20   1.8973E+03   1.0000E+09   7.8565E-08   4.1279E+01   4.7492E-38   3.1510E-18   8.6998E+01   1.4100E+00   0.0000E+00   1.2782E-07   1.5226E-27   2.5617E+01   4.2836E+01   2.8623E-26   9.5504E+00   1.9383E-18   1.0522E-24   2.2941E-46
   6.000000E-15   1.0000E+09   2.1546E+17   1.9527E+16   5.2815E+15   4.7741E+14   8.6309E+13   0.0000E+00   1.0037E+04   2.2906E+03   3.0886E-11   6.0071E-11   2.0567E-11   9.8824E-12   3.7216E-12   1.8115E+00   7.4098E-15   3.3338E-15   1.9068E-15   5.1388E-15   4.3171E-14   2.1982E-24   3.1473E+01   0.0000E+00   3.3958E-20   2.2775E+03   1.0000E+09   1.1701E-07   5.2100E+01   1.1584E-37   5.4109E-18   1.0440E+02   1.8114E+00   0.0000E+00   1.8304E-07   3.0105E-27   3.1473E+01   5.3828E+01   5.5931E-26   1.1427E+01   3.1159E-18   1.9910E-24   5.8638E-46
   7.000000E-15   1.0000E+09   2.1546E+17   1.9527E+16   5.2815E+15   4.7741E+14   8.6309E+13   0.0000E+00   1.1885E+04   2.6728E+03   4.1819E-11   8.1867E-11   2.8105E-11   1.3533E-11   5.0983E-12   2.2129E+00   1.0901E-14   4.9044E-15   2.8053E-15   7.5609E-15   6.3617E-14   3.5594E-24   3.7329E+01   0.0000E+00   5.4823E-20   2.6576E+03   1.0000E+09   1.6328E-07   6.2920E+01   2.4705E-37   8.5565E-18   1.2180E+02   2.2128E+00   0.0000E+00   2.4805E-07   5.2735E-27   3.7329E+01   6.4820E+01   9.6804E-26   1.3304E+01   4.5835E-18   3.3667E-24   1.2601E-45
   8.000000E-15   1.0000E+09   2.1546E+17   1.9527E+16   5.2815E+15   4.7741E+14   8.6309E+13   0.0000E+00   1.3732E+04   3.0550E+03   5.4423E-11   1.0700E-10   3.6795E-11   1.7742E-11   6.6855E-12   2.6143E+00   1.5082E-14   6.7855E-15   3.8813E-15   1.0462E-14   8.8104E-14   5.3924E-24   4.3185E+01   0.0000E+00   8.2868E-20   3.0377E+03   1.0000E+09   2.1735E-07   7.3741E+01   4.7706E-37   1.2734E-17   1.3920E+02   2.6142E+00   0.0000E+00   3.2286E-07   8.4802E-27   4.3185E+01   7.5812E+01   1.5396E-25   1.5181E+01   6.3411E-18   5.2607E-24   2.4007E-45
   9.000000E-15   1.0000E+09   2.1546E+17   1.9527E+16   5.2815E+15   4.7741E+14   8.6309E+13   0.0000E+00   1.5580E+04   3.4372E+03   6.8700E-11   1.3546E-10   4.6639E-11   2.2509E-11   8.4832E-12   3.0156E+00   1.9953E-14   8.9770E-15   5.1348E-15   1.3841E-14   1.1663E-13   7.7673E-24   4.9041E+01   0.0000E+00   1.1915E-19   3.4179E+03   1.0000E+09   2.7924E-07   8.4561E+01   8.5352E-37   1.8091E-17   1.5660E+02   3.0156E+00   0.0000E+00   4.0747E-07   1.2799E-26   4.9041E+01   8.6804E+01   2.3012E-25   1.7057E+01   8.3889E-18   7.7548E-24   4.1875E-45
